 n,time,method_enum,problem_enum,api_enum,compiler_enum
       536870912,             0.2193670999999995,  9,  0,  1,             3
            4096,             0.0000081000000000,  0,  0,  0,             3
           16384,             0.0000222000000000,  0,  0,  0,             3
           65536,             0.0001192000000000,  0,  0,  0,             3
          262144,             0.0003870000000000,  0,  0,  0,             3
         1048576,             0.0013170000000000,  0,  0,  0,             3
         4194304,             0.0089050000000000,  0,  0,  0,             3
        16777216,             0.0383682000000000,  0,  0,  0,             3
        67108864,             0.1456648999999999,  0,  0,  0,             3
       268435456,             0.5702300000000005,  0,  0,  0,             3

            4096,             0.0000059000000000,  1,  0,  0,             3
           16384,             0.0000219000000000,  1,  0,  0,             3
           65536,             0.0000992000000000,  1,  0,  0,             3
          262144,             0.0004042000000000,  1,  0,  0,             3
         1048576,             0.0013399000000000,  1,  0,  0,             3
         4194304,             0.0087509000000000,  1,  0,  0,             3
        16777216,             0.0392100000000000,  1,  0,  0,             3
        67108864,             0.1568148000000000,  1,  0,  0,             3
       268435456,             0.5862947999999992,  1,  0,  0,             3

            4096,             0.0000059000000000,  2,  0,  0,             3
           16384,             0.0000220000000000,  2,  0,  0,             3
           65536,             0.0000971000000000,  2,  0,  0,             3
          262144,             0.0004041000000000,  2,  0,  0,             3
         1048576,             0.0013430000000000,  2,  0,  0,             3
         4194304,             0.0087510000000000,  2,  0,  0,             3
        16777216,             0.0394061000000000,  2,  0,  0,             3
        67108864,             0.1560759999999999,  2,  0,  0,             3
       268435456,             0.5693459000000001,  2,  0,  0,             3

            4096,             0.0000061000000000,  3,  0,  0,             3
           16384,             0.0000220000000000,  3,  0,  0,             3
           65536,             0.0000971000000000,  3,  0,  0,             3
          262144,             0.0004039000000000,  3,  0,  0,             3
         1048576,             0.0013380000000000,  3,  0,  0,             3
         4194304,             0.0088070000000000,  3,  0,  0,             3
        16777216,             0.0396947000000000,  3,  0,  0,             3
        67108864,             0.1568470000000000,  3,  0,  0,             3
       268435456,             0.5747529000000000,  3,  0,  0,             3

            4096,             0.0010190000000000,  4,  0,  0,             3
           16384,             0.0000110000000000,  4,  0,  0,             3
           65536,             0.0000301000000000,  4,  0,  0,             3
          262144,             0.0001171000000000,  4,  0,  0,             3
         1048576,             0.0007670000000000,  4,  0,  0,             3
         4194304,             0.0036960000000000,  4,  0,  0,             3
        16777216,             0.0139980000000000,  4,  0,  0,             3
        67108864,             0.0545218000000001,  4,  0,  0,             3
       268435456,             0.2198091000000000,  4,  0,  0,             3

            4096,             0.0004270000000000,  9,  0,  0,             3
           16384,             0.0000128000000000,  9,  0,  0,             3
           65536,             0.0000320000000000,  9,  0,  0,             3
          262144,             0.0001271000000000,  9,  0,  0,             3
         1048576,             0.0007698000000000,  9,  0,  0,             3
         4194304,             0.0037019000000000,  9,  0,  0,             3
        16777216,             0.0138889000000000,  9,  0,  0,             3
        67108864,             0.0544651000000000,  9,  0,  0,             3
       268435456,             0.2191200000000002,  9,  0,  0,             3
